LSOA11CD,sum
E01000008,1794
E01000016,1851
E01000020,2193
E01000036,1472
E01000048,642
E01000051,1107
E01000067,2237
E01000070,2073
E01000074,1759
E01000081,1976
E01000094,2461
E01000099,2777
E01000105,2333
E01000111,2156
E01000121,1477
E01000144,1660
E01000174,1759
E01000182,1619
E01000208,1628
E01000213,1350
E01000248,1700
E01000276,1537
E01000289,1585
E01000291,1560
E01000308,2108
E01000318,1924
E01000334,1675
E01000335,2726
E01000356,1568
E01000367,2265
E01000370,1558
E01000377,1476
E01000389,1700
E01000401,1816
E01000436,1763
E01000442,1679
E01000469,1738
E01000476,2196
E01000481,1635
E01000489,1729
E01000504,1799
E01000512,1706
E01000527,1875
E01000528,1725
E01000538,1623
E01000559,1377
E01000573,1671
E01000584,1560
E01000586,2379
E01000588,3191
E01000595,1784
E01000596,1846
E01000625,1672
E01000626,1547
E01000641,1951
E01000643,2243
E01000659,1465
E01000664,1661
E01000682,1605
E01000685,1628
E01000694,2298
E01000706,1375
E01000718,2056
E01000726,1305
E01000731,1380
E01000762,1748
E01000775,2285
E01000796,1537
E01000811,1367
E01000842,1431
E01000857,1391
E01000879,1300
E01000882,1453
E01000894,1270
E01000907,1484
E01000929,1915
E01000935,1596
E01000943,1585
E01000947,1665
E01000952,1690
E01000955,1347
E01000961,1791
E01000963,1920
E01000980,1495
E01000981,1730
E01000996,1329
E01001014,4120
E01001031,1457
E01001046,1924
E01001058,1355
E01001062,1510
E01001063,1532
E01001070,1787
E01001093,1795
E01001098,1470
E01001102,1516
E01001105,1737
E01001106,1503
E01001120,1347
E01001121,1325
E01001123,1617
E01001125,1645
E01001128,1602
E01001130,1765
E01001158,1532
E01001159,1947
E01001169,1831
E01001237,1563
E01001249,2437
E01001270,1763
E01001271,1919
E01001283,1781
E01001294,2030
E01001295,1794
E01001306,1639
E01001318,1949
E01001320,1623
E01001326,1960
E01001329,1966
E01001346,1955
E01001363,1994
E01001394,1997
E01001397,2164
E01001405,1802
E01001408,1670
E01001409,2035
E01001429,2328
E01001451,1661
E01001456,1395
E01001460,2113
E01001461,1574
E01001478,1661
E01001485,1858
E01001497,1456
E01001500,1591
E01001524,1563
E01001532,1665
E01001547,2092
E01001563,1735
E01001565,1676
E01001573,1574
E01001606,1626
E01001641,1866
E01001673,2404
E01001677,2164
E01001684,1446
E01001700,2369
E01001710,1760
E01001714,2051
E01001724,2895
E01001731,2666
E01001738,1742
E01001744,2004
E01001747,2329
E01001760,1885
E01001763,1633
E01001768,1867
E01001795,1310
E01001803,1802
E01001807,1807
E01001834,1988
E01001835,1233
E01001836,1857
E01001873,1502
E01001881,1876
E01001886,1524
E01001919,1545
E01001925,1572
E01001940,1538
E01001941,1567
E01001951,1515
E01001954,1526
E01001958,1724
E01001963,1799
E01001964,1629
E01001979,2292
E01001989,1722
E01002011,1748
E01002019,1371
E01002024,1271
E01002046,1619
E01002061,1545
E01002065,1595
E01002072,1875
E01002082,1419
E01002087,1913
E01002093,1839
E01002096,1691
E01002107,1819
E01002118,1880
E01002123,1713
E01002136,2032
E01002137,1747
E01002146,1462
E01002151,1564
E01002154,3047
E01002164,1923
E01002165,1763
E01002170,1369
E01002174,1568
E01002175,1420
E01002190,1708
E01002191,2023
E01002193,2045
E01002199,1570
E01002201,1712
E01002214,1910
E01002218,1818
E01002225,1753
E01002230,1837
E01002232,2153
E01002235,1881
E01002247,2486
E01002249,4333
E01002250,1833
E01002277,1622
E01002299,1817
E01002301,1637
E01002339,1647
E01002352,1987
E01002363,1480
E01002364,1355
E01002369,2045
E01002411,2129
E01002415,1714
E01002425,1694
E01002442,1625
E01002443,2042
E01002449,2145
E01002455,1983
E01002457,1606
E01002493,2001
E01002504,3047
E01002506,2076
E01002511,1626
E01002518,1319
E01002538,1687
E01002547,1716
E01002572,1545
E01002583,1809
E01002586,1837
E01002592,2151
E01002594,2312
E01002600,1655
E01002610,1762
E01002630,2070
E01002631,1835
E01002666,1859
E01002672,1591
E01002675,2572
E01002679,1857
E01002683,3255
E01002692,2105
E01002694,1665
E01002696,1747
E01002715,1684
E01002719,1491
E01002732,1807
E01002733,1443
E01002739,1841
E01002742,2000
E01002753,1447
E01002756,1318
E01002764,1816
E01002768,1611
E01002804,1539
E01002807,1707
E01002817,1346
E01002820,1033
E01002830,1724
E01002833,1211
E01002835,1410
E01002840,1047
E01002843,1296
E01002853,1429
E01002866,1838
E01002870,1590
E01002871,1463
E01002873,1360
E01002879,1945
E01002887,1044
E01002891,1181
E01002893,1574
E01002915,1394
E01002930,1967
E01002946,1509
E01002947,1645
E01002949,1848
E01002951,1502
E01002964,2511
E01002981,1601
E01002990,1707
E01002993,1572
E01003053,1674
E01003054,2191
E01003069,1368
E01003073,1600
E01003076,2702
E01003128,1641
E01003129,1797
E01003157,1582
E01003177,1603
E01003196,1764
E01003199,1972
E01003204,1613
E01003219,1724
E01003220,1664
E01003245,1993
E01003271,1625
E01003302,1866
E01003305,2292
E01003308,1793
E01003314,1645
E01003323,1508
E01003343,1452
E01003346,1666
E01003355,1769
E01003357,1865
E01003362,1382
E01003367,3002
E01003372,1704
E01003378,2240
E01003380,1744
E01003386,2271
E01003394,2064
E01003398,1909
E01003401,1408
E01003411,2035
E01003413,2081
E01003419,1822
E01003434,1545
E01003436,1742
E01003451,1942
E01003453,1837
E01003465,1309
E01003466,1710
E01003468,1761
E01003479,1547
E01003488,1983
E01003489,2992
E01003491,1980
E01003501,2355
E01003514,1658
E01003524,1930
E01003532,2309
E01003537,2161
E01003540,2031
E01003550,1779
E01003551,1829
E01003557,1955
E01003559,2388
E01003561,1712
E01003567,1935
E01003575,1659
E01003619,2483
E01003628,1691
E01003644,1655
E01003647,1969
E01003654,1701
E01003655,1569
E01003663,1958
E01003678,1644
E01003681,2026
E01003702,2255
E01003704,2032
E01003705,2420
E01003724,1484
E01003729,1773
E01003731,1414
E01003734,1838
E01003738,2378
E01003743,1902
E01003755,2413
E01003756,2496
E01003759,1586
E01003763,2007
E01003766,2174
E01003767,2196
E01003776,1734
E01003778,1946
E01003782,1740
E01003789,1424
E01003795,1235
E01003815,1988
E01003818,1607
E01003821,1691
E01003822,1479
E01003826,1781
E01003829,1691
E01003840,1828
E01003855,1931
E01003861,1955
E01003863,1451
E01003870,2101
E01003880,1563
E01003886,1646
E01003891,1747
E01003898,1691
E01003914,1855
E01003922,2234
E01003932,1540
E01003941,1988
E01003958,1936
E01003970,1216
E01003973,1654
E01003976,2394
E01003981,1508
E01003989,2258
E01004002,1704
E01004008,2086
E01004012,2348
E01004013,1684
E01004024,1968
E01004031,2602
E01004033,2416
E01004035,1428
E01004039,1543
E01004053,1870
E01004068,1906
E01004073,1892
E01004083,1501
E01004098,1297
E01004111,1686
E01004112,1667
E01004135,1453
E01004141,1826
E01004157,1294
E01004172,1941
E01004194,1596
E01004204,1868
E01004211,1629
E01004230,2148
E01004242,6246
E01004243,1552
E01004246,3542
E01004249,2439
E01004251,2578
E01004275,2512
E01004281,1993
E01004288,1851
E01004321,2144
E01004332,1945
E01004341,1937
E01004342,2091
E01004347,2182
E01004352,1884
E01004364,1985
E01004366,1936
E01004397,2906
E01004398,2029
E01004405,1717
E01004435,2147
E01004438,2140
E01004442,1546
E01004444,2818
E01004448,1929
E01004449,1893
E01004492,1741
E01004494,1786
E01004502,1640
E01004506,2217
E01004522,1728
E01004544,1537
E01004554,1657
E01004584,1728
E01004585,1824
E01004599,1566
E01004604,1564
E01004627,1588
E01004636,1462
E01004643,2350
E01004654,2445
E01004665,1452
E01004717,1263
E01004718,1860
E01004754,1878
E01004756,1525
E01032577,1784
E01032579,2159
E01032639,1914
E01032646,1515
E01032719,1445
E01032741,1465
E01032744,1609
E01032767,1562
E01032783,1308
E01032784,1705
E01033081,1596
E01033093,3391
E01033325,1366
E01033571,1496
E01033573,3064
E01033588,1564
E01033602,1527
E01033603,1269
E01033604,1180
E01033706,1447
E01033726,6186
E01033730,3212
E01033746,1471
